CNES - Recursos Físicos - Ambulatório - Leitos de Repouso e Observação - Brasil
Leitos Repouso/Observação Indif por Município e Ano/mês compet.
Período:Dez/2005, Dez/2006, Dez/2007, Dez/2008, Dez/2009, Dez/2010, Dez/2011, Dez/2012, Dez/2013, Dez/2014, Dez/2015, Dez/2016, Dez/2017, Dez/2018, Dez/2019, Dez/2020
"Município";"2005/Dez";"2006/Dez";"2007/Dez";"2008/Dez";"2009/Dez";"2010/Dez";"2011/Dez";"2012/Dez";"2013/Dez";"2014/Dez";"2015/Dez";"2016/Dez";"2017/Dez";"2018/Dez";"2019/Dez";"2020/Dez"
"251640 Tacima";7;7;8;5;5;5;5;5;5;5;5;5;5;5;5;5
"251650 Taperoá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"251660 Tavares";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"251670 Teixeira";-;-;-;2;2;2;2;2;2;2;2;2;2;2;2;2
"251675 Tenório";-;-;-;-;-;-;-;-;-;3;3;3;3;3;3;1
"251680 Triunfo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"251690 Uiraúna";4;4;4;4;4;4;4;4;4;6;6;6;6;6;4;4
"251700 Umbuzeiro";1;-;-;-;-;-;5;5;1;1;5;5;5;5;5;11
"251710 Várzea";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2
"251720 Vieirópolis";2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3
"250550 Vista Serrana";-;-;-;-;-;-;-;-;-;-;-;-;2;2;2;3
"251740 Zabelê";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"250000 Município ignorado - PB";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260005 Abreu e Lima";-;-;-;-;-;1;1;1;1;1;1;-;-;-;-;1
"260010 Afogados da Ingazeira";1;1;1;3;3;5;5;5;5;9;9;8;8;8;8;8
"260020 Afrânio";-;-;-;-;-;-;-;-;1;1;1;1;1;1;1;1
"260030 Agrestina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260040 Água Preta";8;8;4;3;3;3;3;3;3;3;3;3;3;3;3;3
"260050 Águas Belas";-;-;-;-;-;1;3;3;3;3;3;3;3;1;1;1
"260060 Alagoinha";5;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-
"260070 Aliança";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260080 Altinho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260090 Amaraji";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-
"260100 Angelim";2;2;-;-;-;-;-;-;-;-;-;1;1;1;1;1
"260105 Araçoiaba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260110 Araripina";18;18;11;2;2;2;5;5;5;5;5;5;5;5;5;5
"260120 Arcoverde";3;3;6;6;6;6;9;7;7;7;8;8;10;8;7;7
"260130 Barra de Guabiraba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260140 Barreiros";7;7;7;7;7;7;7;7;7;7;7;5;7;7;5;5
"260150 Belém de Maria";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260160 Belém do São Francisco";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260170 Belo Jardim";-;-;-;-;-;-;-;-;-;6;4;4;4;4;4;4
"260180 Betânia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"260190 Bezerros";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3
"260200 Bodocó";4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
"260210 Bom Conselho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260220 Bom Jardim";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"260230 Bonito";3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260240 Brejão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260250 Brejinho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260260 Brejo da Madre de Deus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260270 Buenos Aires";5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;6
"260280 Buíque";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260290 Cabo de Santo Agostinho";1;1;1;1;1;5;12;12;12;12;16;16;16;16;13;13
"260300 Cabrobó";-;-;-;-;2;2;2;2;2;2;2;2;2;2;2;4
"260310 Cachoeirinha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260320 Caetés";6;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260330 Calçado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260340 Calumbi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260345 Camaragibe";28;28;28;28;28;36;13;9;9;1;1;1;1;7;7;28
"260350 Camocim de São Félix";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"260360 Camutanga";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2
"260370 Canhotinho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260380 Capoeiras";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260390 Carnaíba";-;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"260392 Carnaubeira da Penha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260400 Carpina";1;1;1;1;1;4;4;4;4;4;4;4;4;4;4;4
"260410 Caruaru";14;19;17;18;25;30;27;29;61;64;71;87;95;93;86;86
"260415 Casinhas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260420 Catende";1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3
"260430 Cedro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260440 Chã de Alegria";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260450 Chã Grande";-;-;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"260460 Condado";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"260470 Correntes";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260480 Cortês";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"260490 Cumaru";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"260500 Cupira";-;-;-;-;-;1;1;1;1;1;-;1;1;1;1;1
"260510 Custódia";-;-;-;-;-;-;-;-;-;1;1;1;1;1;1;1
"260515 Dormentes";4;4;-;4;4;-;-;-;-;-;-;-;1;1;1;5
"260520 Escada";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260530 Exu";8;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260540 Feira Nova";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260545 Fernando de Noronha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260550 Ferreiros";-;-;5;5;5;5;5;5;5;6;6;6;6;5;5;5
"260560 Flores";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260570 Floresta";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"260580 Frei Miguelinho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260590 Gameleira";-;-;-;-;-;-;-;-;2;2;2;2;2;2;2;2
"260600 Garanhuns";-;-;-;-;-;-;-;-;3;3;3;3;3;3;3;3
"260610 Glória do Goitá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260620 Goiana";1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3
"260630 Granito";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260640 Gravatá";5;5;5;7;7;7;7;7;7;7;7;7;7;7;7;7
"260650 Iati";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260660 Ibimirim";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"260670 Ibirajuba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260680 Igarassu";-;-;-;2;-;1;1;2;3;2;2;2;1;1;22;22
"260690 Iguaracy";4;4;4;4;2;2;2;2;2;2;2;2;2;2;2;2
"260760 Ilha de Itamaracá";2;-;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"260700 Inajá";2;2;2;2;2;2;2;2;2;2;4;4;4;4;4;4
"260710 Ingazeira";-;-;-;-;2;2;2;2;2;2;2;2;2;2;2;2
"260720 Ipojuca";1;1;1;1;1;1;1;2;11;13;15;15;18;15;16;20
"260730 Ipubi";4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5
"260740 Itacuruba";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"260750 Itaíba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260765 Itambé";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"260770 Itapetim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"260775 Itapissuma";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260780 Itaquitinga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260790 Jaboatão dos Guararapes";-;-;-;-;-;-;2;4;4;4;4;5;15;15;20;23
"260795 Jaqueira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260800 Jataúba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260805 Jatobá";2;2;2;3;3;3;3;3;3;3;3;3;3;3;4;4
"260810 João Alfredo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260820 Joaquim Nabuco";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260825 Jucati";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"260830 Jupi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260840 Jurema";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260850 Lagoa de Itaenga";3;3;-;3;3;3;3;3;3;3;3;3;3;3;3;3
"260845 Lagoa do Carro";5;5;5;5;-;-;-;-;-;-;-;-;-;-;-;-
"260860 Lagoa do Ouro";4;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260870 Lagoa dos Gatos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260875 Lagoa Grande";2;2;-;-;-;-;1;1;1;1;1;1;1;1;1;1
"260880 Lajedo";-;-;-;-;-;-;-;1;1;1;1;1;1;1;1;1
"260890 Limoeiro";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"260900 Macaparana";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260910 Machados";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260915 Manari";-;-;-;-;-;-;-;-;-;-;2;2;2;2;2;2
"260920 Maraial";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260930 Mirandiba";2;2;2;2;2;2;2;2;2;2;2;2;2;2;-;-
"261430 Moreilândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260940 Moreno";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260950 Nazaré da Mata";9;8;9;9;3;3;3;2;2;2;2;2;2;2;2;2
"260960 Olinda";7;7;8;8;8;11;12;16;16;17;13;13;15;12;12;17
"260970 Orobó";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260980 Orocó";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260990 Ouricuri";13;17;10;11;11;11;11;11;11;11;7;7;5;5;5;5
"261000 Palmares";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"261010 Palmeirina";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"261020 Panelas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"261030 Paranatama";5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"261040 Parnamirim";-;-;4;4;4;4;4;4;4;4;4;4;4;4;4;4
"261050 Passira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"261060 Paudalho";-;-;-;-;-;-;-;-;-;-;-;-;-;8;8;8
"261070 Paulista";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1
"261080 Pedra";-;-;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"261090 Pesqueira";8;8;8;8;8;8;8;8;8;9;7;7;7;7;7;11
"261100 Petrolândia";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"261110 Petrolina";31;38;45;48;48;81;71;71;71;61;64;68;94;96;79;79
"261120 Poção";1;1;-;1;1;1;1;1;1;1;1;1;1;1;1;1
"261130 Pombos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"261140 Primavera";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"261150 Quipapá";-;-;-;-;-;-;-;2;2;2;2;2;2;2;2;2
"261153 Quixaba";2;2;2;2;2;2;2;2;2;1;1;-;-;-;-;4
"261160 Recife";225;268;306;319;321;352;337;319;334;340;322;309;316;317;313;288
"261170 Riacho das Almas";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"261180 Ribeirão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"261190 Rio Formoso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"261200 Sairé";2;2;1;1;1;-;-;-;-;-;-;-;-;-;-;1
"261210 Salgadinho";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"261220 Salgueiro";-;-;2;2;3;3;3;3;3;3;3;1;3;3;3;4
"261230 Saloá";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"261240 Sanharó";2;2;3;3;3;3;3;3;2;2;1;1;1;3;4;4
"261245 Santa Cruz";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"261247 Santa Cruz da Baixa Verde";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"261250 Santa Cruz do Capibaribe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"261255 Santa Filomena";1;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"261260 Santa Maria da Boa Vista";-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"261270 Santa Maria do Cambucá";2;2;2;2;2;2;-;-;-;-;-;-;-;-;-;-
"261280 Santa Terezinha";-;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"261290 São Benedito do Sul";-;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"261300 São Bento do Una";-;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"261310 São Caitano";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"261320 São João";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"261330 São Joaquim do Monte";2;6;6;6;6;6;6;6;6;7;7;7;7;7;7;7
"261340 São José da Coroa Grande";-;-;-;-;-;-;-;1;1;1;1;1;1;1;-;1
"261350 São José do Belmonte";-;-;-;2;2;2;2;2;2;2;2;2;2;2;2;2
"261360 São José do Egito";2;2;2;2;2;2;3;3;3;3;3;3;4;4;4;4
"261370 São Lourenço da Mata";-;-;-;-;-;-;-;-;1;1;1;1;1;1;1;1
"261380 São Vicente Ferrer";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"261390 Serra Talhada";4;4;8;16;16;16;10;10;9;13;13;13;13;11;12;14
"261400 Serrita";1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1
"261410 Sertânia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"261420 Sirinhaém";4;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"261440 Solidão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"261450 Surubim";2;4;4;5;5;5;3;3;3;3;3;3;3;3;3;3
"261460 Tabira";1;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3
"261470 Tacaimbó";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"261480 Tacaratu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"261485 Tamandaré";1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"261500 Taquaritinga do Norte";-;-;-;-;-;1;1;1;3;3;3;3;3;3;3;3
"261510 Terezinha";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"261520 Terra Nova";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"261530 Timbaúba";1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"261540 Toritama";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5
"261550 Tracunhaém";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"261560 Trindade";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"261570 Triunfo";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3
"261580 Tupanatinga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"261590 Tuparetama";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"261600 Venturosa";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"261610 Verdejante";2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2
"261618 Vertente do Lério";2;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-
"261620 Vertentes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"261630 Vicência";-;-;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"261640 Vitória de Santo Antão";4;4;4;4;4;4;4;4;6;10;10;10;13;13;13;14
"261650 Xexéu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"260000 Município ignorado - PE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270010 Água Branca";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270020 Anadia";3;3;3;3;3;3;3;3;3;3;5;5;5;5;5;5
"270030 Arapiraca";13;13;13;13;14;13;15;18;20;21;21;20;20;28;33;35
"270040 Atalaia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270050 Barra de Santo Antônio";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4
"270060 Barra de São Miguel";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"270070 Batalha";-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;3
"270080 Belém";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270090 Belo Monte";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270100 Boca da Mata";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270110 Branquinha";2;2;2;2;2;2;2;2;2;2;2;2;2;2;-;1
"270120 Cacimbinhas";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"270130 Cajueiro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270135 Campestre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270140 Campo Alegre";5;5;5;5;5;5;6;6;6;6;14;16;16;16;16;16
"270150 Campo Grande";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"270160 Canapi";-;-;-;-;-;1;1;1;1;1;1;1;1;1;1;1
"270170 Capela";6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"270180 Carneiros";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"270190 Chã Preta";5;5;5;5;5;5;5;5;5;5;5;5;-;-;-;-
"270200 Coité do Nóia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270210 Colônia Leopoldina";8;8;8;8;9;9;9;9;9;9;9;9;12;12;9;10
"270220 Coqueiro Seco";3;3;3;3;3;3;3;3;3;3;6;6;6;6;6;6
"270230 Coruripe";10;10;10;10;10;10;10;10;10;10;10;10;10;9;9;9
"270235 Craíbas";-;-;-;-;3;-;-;-;3;3;3;3;3;3;3;3
"270240 Delmiro Gouveia";-;-;-;-;2;2;2;2;2;2;2;2;2;2;2;10
"270250 Dois Riachos";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270255 Estrela de Alagoas";4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
"270260 Feira Grande";-;-;-;-;-;-;-;-;-;2;-;-;-;1;1;1
"270270 Feliz Deserto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"270280 Flexeiras";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270290 Girau do Ponciano";-;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"270300 Ibateguara";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270310 Igaci";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270320 Igreja Nova";5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"270330 Inhapi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270340 Jacaré dos Homens";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270350 Jacuípe";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"270360 Japaratinga";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"270370 Jaramataia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270375 Jequiá da Praia";-;-;-;-;-;-;-;-;-;-;-;7;7;7;7;11
"270380 Joaquim Gomes";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270390 Jundiá";6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"270400 Junqueiro";4;2;2;2;2;2;2;-;-;-;-;-;-;-;-;6
"270410 Lagoa da Canoa";-;-;-;-;-;3;3;3;3;3;3;3;3;3;3;4
"270420 Limoeiro de Anadia";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"270430 Maceió";48;52;72;83;87;87;85;93;106;116;121;148;150;148;157;157
"270440 Major Isidoro";4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"270490 Mar Vermelho";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"270450 Maragogi";10;10;10;10;10;10;10;10;10;10;10;12;13;13;13;14
"270460 Maravilha";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"270470 Marechal Deodoro";7;7;7;7;7;7;7;7;7;7;7;7;6;6;6;7
"270480 Maribondo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270500 Mata Grande";2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
"270510 Matriz de Camaragibe";-;2;2;2;2;2;2;2;2;2;4;4;4;4;4;4
"270520 Messias";-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-
"270530 Minador do Negrão";5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"270540 Monteirópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270550 Murici";2;6;8;8;8;8;8;8;8;8;8;8;8;8;8;8
"270560 Novo Lino";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270570 Olho d'Água das Flores";-;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
"270580 Olho d'Água do Casado";-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"270590 Olho d'Água Grande";-;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2
"270600 Olivença";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1
"270610 Ouro Branco";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270620 Palestina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270630 Palmeira dos Índios";11;15;15;13;13;13;13;13;12;12;12;12;12;14;14;14
"270640 Pão de Açúcar";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"270642 Pariconha";-;-;-;-;-;-;-;-;-;-;-;2;4;4;4;7
"270644 Paripueira";6;6;6;6;4;-;-;1;1;1;1;1;1;1;1;2
"270650 Passo de Camaragibe";-;-;-;-;-;-;2;2;-;-;-;-;2;2;2;8
"270660 Paulo Jacinto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270670 Penedo";2;2;2;6;5;5;5;5;5;5;6;7;9;7;7;7
"270680 Piaçabuçu";13;9;9;9;9;9;9;9;9;9;9;9;9;9;9;10
"270690 Pilar";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5
"270700 Pindoba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270710 Piranhas";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-
"270720 Poço das Trincheiras";-;-;-;-;-;-;-;-;-;2;2;2;2;2;2;4
"270730 Porto Calvo";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4
"270740 Porto de Pedras";-;-;-;-;-;-;-;-;-;1;-;-;1;1;1;1
"270750 Porto Real do Colégio";2;2;2;2;2;2;2;2;2;2;2;2;2;2;-;-
"270760 Quebrangulo";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"270770 Rio Largo";1;1;1;1;1;1;3;1;1;1;4;4;4;4;4;5
"270780 Roteiro";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"270790 Santa Luzia do Norte";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"270800 Santana do Ipanema";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
"270810 Santana do Mundaú";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270820 São Brás";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270830 São José da Laje";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3
"270840 São José da Tapera";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"270850 São Luís do Quitunde";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5
"270860 São Miguel dos Campos";-;-;-;-;-;-;-;1;1;1;1;1;1;1;1;1
"270870 São Miguel dos Milagres";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"270880 São Sebastião";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270890 Satuba";-;-;-;-;-;1;1;1;1;1;1;1;1;1;1;1
"270895 Senador Rui Palmeira";3;3;3;3;4;5;5;5;5;5;5;5;5;5;5;4
"270900 Tanque d'Arca";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270910 Taquarana";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270915 Teotônio Vilela";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;19
"270920 Traipu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270930 União dos Palmares";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"270940 Viçosa";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270000 Município ignorado - AL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"280010 Amparo de São Francisco";-;-;-;-;-;-;-;1;1;1;1;1;1;1;1;1
"280020 Aquidabã";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"280030 Aracaju";72;70;70;71;74;80;80;80;80;80;80;80;82;86;87;89
"280040 Arauá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"280050 Areia Branca";1;1;1;1;1;4;4;4;4;4;4;4;4;4;4;4
"280060 Barra dos Coqueiros";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"280067 Boquim";-;-;-;-;2;2;2;2;2;2;2;2;2;2;2;2
"280070 Brejo Grande";-;-;-;-;-;-;-;-;-;-;-;3;3;3;3;3
"280100 Campo do Brito";7;7;7;7;7;2;2;10;10;10;10;10;10;10;10;10
"280110 Canhoba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"280120 Canindé de São Francisco";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"280130 Capela";-;-;3;3;3;3;3;-;-;-;-;-;-;-;-;-
"280140 Carira";3;3;3;3;3;3;3;-;3;3;3;3;3;3;3;4
