CNES - Recursos Humanos - Profissionais - Indivíduos - segundo CBO 1994 - Brasil
Quantidade por Município e Ano/mês compet.
Médicos: 06141-De saúde da família
Período:Dez/2005, Dez/2006
"Município";"2005/Dez";"2006/Dez"
"150780 Senador José Porfírio";-;1
"150796 Terra Alta";3;3
"150803 Tracuateua";3;2
"150805 Trairão";1;1
"150810 Tucuruí";6;5
"150812 Ulianópolis";2;2
"150815 Uruará";1;-
"150820 Vigia";4;4
"150830 Viseu";2;1
"160027 Laranjal do Jari";2;4
"160030 Macapá";12;19
"160040 Mazagão";-;1
"160015 Pedra Branca do Amapari";-;1
"160053 Porto Grande";1;1
"160060 Santana";8;4
"170025 Abreulândia";1;1
"170030 Aguiarnópolis";2;1
"170035 Aliança do Tocantins";-;2
"170040 Almas";1;-
"170070 Alvorada";2;-
"170100 Ananás";3;4
"170105 Angico";1;1
"170110 Aparecida do Rio Negro";1;1
"170130 Aragominas";2;2
"170190 Araguacema";1;2
"170200 Araguaçu";3;3
"170210 Araguaína";13;13
"170215 Araguanã";1;1
"170220 Araguatins";1;2
"170230 Arapoema";-;1
"170240 Arraias";1;2
"170255 Augustinópolis";2;3
"170270 Aurora do Tocantins";1;-
"170290 Axixá do Tocantins";1;2
"170300 Babaçulândia";3;2
"170305 Bandeirantes do Tocantins";1;1
"170307 Barra do Ouro";1;1
"170310 Barrolândia";1;1
"170320 Bernardo Sayão";1;1
"170360 Brasilândia do Tocantins";1;1
"170370 Brejinho de Nazaré";2;1
"170380 Buriti do Tocantins";2;2
"170382 Cachoeirinha";1;1
"170384 Campos Lindos";1;1
"170388 Carmolândia";1;-
"170389 Carrasco Bonito";1;1
"170390 Caseara";-;1
"170410 Centenário";1;1
"170510 Chapada da Natividade";1;1
"170460 Chapada de Areia";1;1
"170550 Colinas do Tocantins";6;7
"171670 Colméia";1;2
"170555 Combinado";1;1
"170560 Conceição do Tocantins";1;1
"170600 Couto Magalhães";1;1
"170610 Cristalândia";1;1
"170625 Crixás do Tocantins";1;1
"170700 Dianópolis";6;3
"170710 Divinópolis do Tocantins";1;3
"170720 Dois Irmãos do Tocantins";3;2
"170730 Dueré";-;1
"170740 Esperantina";2;2
"170755 Fátima";1;1
"170765 Figueirópolis";1;2
"170770 Filadélfia";4;1
"170820 Formoso do Araguaia";4;5
"170825 Fortaleza do Tabocão";1;1
"170830 Goianorte";1;1
"170900 Goiatins";1;1
"170930 Guaraí";7;5
"170950 Gurupi";8;14
"171050 Itacajá";1;1
"171070 Itaguatins";1;1
"171090 Itapiratins";1;1
"171110 Itaporã do Tocantins";1;1
"171150 Jaú do Tocantins";1;2
"171180 Juarina";1;1
"171190 Lagoa da Confusão";1;1
"171195 Lagoa do Tocantins";-;1
"171200 Lajeado";2;1
"171215 Lavandeira";2;1
"171240 Lizarda";1;-
"171245 Luzinópolis";1;-
"171250 Marianópolis do Tocantins";1;-
"171270 Mateiros";1;1
"171320 Miracema do Tocantins";2;4
"171330 Miranorte";-;1
"171360 Monte do Carmo";1;-
"171370 Monte Santo do Tocantins";1;1
"171395 Muricilândia";1;1
"171420 Natividade";2;1
"171430 Nazaré";1;2
"171488 Nova Olinda";2;1
"171500 Nova Rosalândia";1;1
"171510 Novo Acordo";-;1
"171515 Novo Alegre";2;1
"172100 Palmas";24;31
"171570 Palmeirante";1;1
"171380 Palmeiras do Tocantins";1;2
"171575 Palmeirópolis";2;3
"171610 Paraíso do Tocantins";6;3
"171620 Paranã";2;2
"171630 Pau D'Arco";2;1
"171660 Peixe";3;4
"171700 Pindorama do Tocantins";1;1
"171720 Piraquê";1;1
"171750 Pium";2;-
"171780 Ponte Alta do Bom Jesus";1;1
"171790 Ponte Alta do Tocantins";1;-
"171800 Porto Alegre do Tocantins";-;1
"171820 Porto Nacional";3;3
"171830 Praia Norte";1;3
"171840 Presidente Kennedy";-;1
"171845 Pugmil";1;-
"171850 Recursolândia";-;1
"171855 Riachinho";1;1
"171865 Rio da Conceição";1;-
"171870 Rio dos Bois";-;1
"171875 Rio Sono";2;1
"171880 Sampaio";1;2
"171884 Sandolândia";3;2
"171886 Santa Fé do Araguaia";-;2
"171888 Santa Maria do Tocantins";1;-
"171889 Santa Rita do Tocantins";-;1
"171890 Santa Rosa do Tocantins";2;1
"171900 Santa Tereza do Tocantins";1;1
"172000 Santa Terezinha do Tocantins";1;1
"172010 São Bento do Tocantins";2;1
"172020 São Miguel do Tocantins";2;2
"172025 São Salvador do Tocantins";1;1
"172030 São Sebastião do Tocantins";2;-
"172049 São Valério";1;3
"172065 Silvanópolis";-;1
"172080 Sítio Novo do Tocantins";1;2
"172090 Taguatinga";4;5
"172093 Taipas do Tocantins";1;1
"172097 Talismã";-;1
"172110 Tocantínia";1;2
"172120 Tocantinópolis";1;1
"172125 Tupirama";-;1
"172130 Tupiratins";2;1
"172208 Wanderlândia";-;1
"172210 Xambioá";1;2
"210005 Açailândia";6;11
"210010 Afonso Cunha";1;1
"210040 Altamira do Maranhão";-;1
"210043 Alto Alegre do Maranhão";2;1
"210047 Alto Alegre do Pindaré";3;7
"210070 Anajatuba";1;2
"210083 Apicum-Açu";2;1
"210087 Araguanã";1;1
"210090 Araioses";3;3
"210100 Arari";-;2
"210110 Axixá";1;2
"210120 Bacabal";8;10
"210125 Bacabeira";3;2
"210140 Balsas";3;5
"210150 Barão de Grajaú";1;1
"210160 Barra do Corda";7;5
"210170 Barreirinhas";-;8
"210173 Belágua";1;1
"210190 Bequimão";1;6
"210200 Bom Jardim";3;3
"210203 Bom Jesus das Selvas";-;1
"210207 Bom Lugar";-;1
"210210 Brejo";2;2
"210215 Brejo de Areia";2;2
"210220 Buriti";-;1
"210230 Buriti Bravo";1;1
"210240 Cajapió";1;1
"210250 Cajari";2;2
"210270 Cantanhede";3;3
"210280 Carolina";-;5
"210290 Carutapera";-;7
"210300 Caxias";34;33
"210310 Cedral";-;2
"210315 Centro do Guilherme";2;2
"210317 Centro Novo do Maranhão";-;5
"210320 Chapadinha";4;1
"210330 Codó";5;10
"210340 Coelho Neto";5;5
"210350 Colinas";1;5
"210360 Coroatá";6;7
"210370 Cururupu";4;7
"210380 Dom Pedro";2;2
"210400 Esperantinópolis";3;2
"210405 Estreito";-;4
"210407 Feira Nova do Maranhão";1;2
"210408 Fernando Falcão";1;1
"210420 Fortuna";-;1
"210430 Godofredo Viana";-;1
"210440 Gonçalves Dias";3;2
"210450 Governador Archer";-;1
"210455 Governador Edison Lobão";1;1
"210460 Governador Eugênio Barros";-;1
"210467 Governador Nunes Freire";4;6
"210480 Grajaú";2;3
"210490 Guimarães";2;3
"210500 Humberto de Campos";1;4
"210515 Igarapé do Meio";1;-
"210520 Igarapé Grande";1;3
"210530 Imperatriz";33;44
"210540 Itapecuru Mirim";11;9
"210542 Itinga do Maranhão";1;3
"210545 Jatobá";1;1
"210550 João Lisboa";3;3
"210565 Junco do Maranhão";1;-
"210570 Lago da Pedra";1;7
"210594 Lago dos Rodrigues";3;3
"210590 Lago Verde";1;1
"210600 Lima Campos";-;3
"210632 Maracaçumé";1;1
"210637 Maranhãozinho";1;4
"210640 Mata Roma";1;1
"210650 Matinha";1;3
"210670 Mirador";1;1
"210675 Miranda do Norte";3;2
"210680 Mirinzal";2;1
"210690 Monção";4;2
"210700 Montes Altos";1;1
"210710 Morros";-;1
"210720 Nina Rodrigues";-;1
"210730 Nova Iorque";-;2
"210745 Olinda Nova do Maranhão";2;3
"210750 Paço do Lumiar";4;4
"210760 Palmeirândia";2;2
"210770 Paraibano";4;5
"210780 Parnarama";15;14
"210820 Pedreiras";6;7
"210830 Penalva";1;1
"210845 Peritoró";-;2
"210850 Pindaré-Mirim";-;1
"210860 Pinheiro";4;9
"210870 Pio XII";3;4
"210880 Pirapemas";-;2
"210890 Poção de Pedras";1;1
"210900 Porto Franco";1;3
"210910 Presidente Dutra";2;2
"210927 Presidente Sarney";1;1
"210930 Presidente Vargas";1;1
"210945 Raposa";5;4
"210960 Rosário";-;2
"210980 Santa Helena";2;3
"210990 Santa Inês";6;11
"211000 Santa Luzia";6;6
"211003 Santa Luzia do Paruá";5;4
"211020 Santa Rita";4;4
"211030 Santo Antônio dos Lopes";2;2
"211040 São Benedito do Rio Preto";2;1
"211050 São Bento";4;-
"211060 São Bernardo";2;3
"211080 São Félix de Balsas";-;1
"211090 São Francisco do Maranhão";-;5
"211110 São João dos Patos";3;4
"211120 São José de Ribamar";9;10
"211130 São Luís";56;51
"211140 São Luís Gonzaga do Maranhão";1;-
"211150 São Mateus do Maranhão";1;1
"211153 São Pedro da Água Branca";-;1
"211170 São Vicente Ferrer";2;2
"211180 Sítio Novo";1;1
"211210 Timbiras";1;1
"211220 Timon";37;46
"211230 Tuntum";5;5
"211270 Vargem Grande";3;5
"211280 Viana";4;5
"211285 Vila Nova dos Martírios";1;1
"211290 Vitória do Mearim";2;3
"211300 Vitorino Freire";2;6
"220010 Agricolândia";1;1
"220020 Água Branca";2;2
"220027 Alegrete do Piauí";1;1
"220030 Alto Longá";3;3
"220040 Altos";8;7
"220045 Alvorada do Gurguéia";1;1
"220050 Amarante";2;3
"220060 Angical do Piauí";1;1
"220080 Antônio Almeida";1;-
"220100 Arraial";3;2
"220115 Baixa Grande do Ribeiro";1;1
"220117 Barra D'Alcântara";1;1
"220120 Barras";6;9
"220130 Barreiras do Piauí";1;1
"220150 Batalha";4;6
"220160 Beneditinos";3;3
"220170 Bertolínia";1;1
"220173 Betânia do Piauí";1;1
"220190 Bom Jesus";3;3
"220198 Brejo do Piauí";-;2
"220200 Buriti dos Lopes";3;1
"220202 Buriti dos Montes";-;1
"220205 Cabeceiras do Piauí";1;1
"220208 Cajueiro da Praia";-;1
"220209 Caldeirão Grande do Piauí";1;3
"220210 Campinas do Piauí";1;1
"220217 Campo Largo do Piauí";1;1
"220220 Campo Maior";1;1
"220230 Canto do Buriti";3;3
"220245 Capitão Gervásio Oliveira";1;-
"220260 Castelo do Piauí";3;2
"220265 Caxingó";1;1
"220273 Coivaras";1;3
"220275 Colônia do Gurguéia";1;2
"220277 Colônia do Piauí";-;1
"220285 Coronel José Dias";-;1
"220290 Corrente";5;7
"220300 Cristalândia do Piauí";2;2
"220330 Demerval Lobão";3;3
"220340 Dom Expedito Lopes";2;2
"220350 Elesbão Veloso";4;4
"220360 Eliseu Martins";1;-
"220370 Esperantina";1;5
"220390 Floriano";9;11
"220430 Fronteiras";1;1
"220435 Geminiano";2;-
"220450 Guadalupe";3;3
"220465 Ilha Grande";2;2
"220480 Ipiranga do Piauí";1;1
"220500 Itainópolis";2;2
"220520 Jaicós";-;1
"220525 Jardim do Mulato";1;1
"220535 João Costa";1;1
"220540 Joaquim Pires";1;1
"220545 Joca Marques";1;1
"220550 José de Freitas";2;3
"220551 Juazeiro do Piauí";1;1
"220552 Júlio Borges";1;2
"220559 Lagoa do Sítio";-;2
"220570 Luís Correia";3;4
"220580 Luzilândia";3;3
"220585 Madeiro";-;1
"220600 Marcos Parente";-;1
"220610 Matias Olímpio";-;2
"220620 Miguel Alves";-;3
"220630 Miguel Leão";1;-
"220640 Monsenhor Gil";3;3
"220650 Monsenhor Hipólito";1;1
"220667 Morro do Chapéu do Piauí";1;1
"220669 Murici dos Portelas";-;2
"220690 Novo Oriente do Piauí";1;-
"220695 Novo Santo Antônio";2;-
"220700 Oeiras";-;1
"220735 Pajeú do Piauí";1;3
"220750 Palmeirais";1;1
"220770 Parnaíba";10;9
"220779 Pau D'Arco do Piauí";-;1
"220780 Paulistana";1;1
"220790 Pedro II";2;2
"220800 Picos";6;7
"220810 Pimenteiras";2;2
"220820 Pio IX";1;5
"220830 Piracuruca";3;4
"220840 Piripiri";13;13
"220855 Porto Alegre do Piauí";1;1
"220860 Prata do Piauí";-;1
"220880 Regeneração";1;1
"220890 Ribeiro Gonçalves";2;1
"220910 Santa Cruz do Piauí";1;1
"220965 São Francisco de Assis do Piauí";-;1
"220987 São João da Fronteira";1;1
"220995 São João da Varjota";2;2
"220997 São João do Arraial";1;3
"221000 São João do Piauí";2;2
"221020 São José do Piauí";1;1
"221037 São Luis do Piauí";1;1
"221040 São Miguel do Tapuio";3;5
"221050 São Pedro do Piauí";3;3
"221060 São Raimundo Nonato";-;3
"221065 Sigefredo Pacheco";1;1
"221070 Simões";1;-
"221080 Simplício Mendes";2;-
"221093 Sussuapara";1;1
"221100 Teresina";102;106
"221110 União";3;8
"221120 Uruçuí";1;1
"221130 Valença do Piauí";5;4
"221135 Várzea Branca";1;1
"221140 Várzea Grande";1;1
"230010 Abaiara";2;2
"230015 Acarape";1;4
"230020 Acaraú";6;10
"230030 Acopiara";5;4
"230050 Alcântaras";1;2
"230070 Alto Santo";4;5
"230075 Amontada";3;2
"230080 Antonina do Norte";1;2
"230090 Apuiarés";4;2
"230100 Aquiraz";5;8
"230110 Aracati";10;12
"230120 Aracoiaba";2;4
"230125 Ararendá";4;3
"230130 Araripe";2;2
"230140 Aratuba";4;4
"230150 Arneiroz";1;1
"230160 Assaré";2;3
"230170 Aurora";2;4
"230180 Baixio";1;1
"230185 Banabuiú";-;2
"230190 Barbalha";12;8
"230195 Barreira";3;-
"230200 Barro";2;5
"230205 Barroquinha";4;3
"230210 Baturité";3;4
"230220 Beberibe";13;8
"230230 Bela Cruz";3;4
"230240 Boa Viagem";4;4
"230250 Brejo Santo";8;8
"230260 Camocim";9;6
"230270 Campos Sales";8;8
"230280 Canindé";10;9
"230290 Capistrano";2;4
"230300 Caridade";5;5
"230310 Cariré";3;2
"230320 Caririaçu";5;7
"230330 Cariús";1;3
"230340 Carnaubal";6;3
"230350 Cascavel";9;13
"230360 Catarina";5;4
"230365 Catunda";3;2
"230370 Caucaia";48;47
"230380 Cedro";6;7
"230390 Chaval";4;3
"230393 Choró";1;3
"230395 Chorozinho";2;4
"230400 Coreaú";2;3
"230410 Crateús";6;7
"230420 Crato";18;9
"230423 Croatá";3;3
"230425 Cruz";4;5
"230426 Deputado Irapuan Pinheiro";3;3
"230427 Ererê";1;1
"230428 Eusébio";7;9
"230430 Farias Brito";5;4
"230435 Forquilha";2;7
"230440 Fortaleza";55;138
"230445 Fortim";3;2
"230450 Frecheirinha";2;2
"230465 Graça";5;7
"230470 Granja";4;8
"230490 Groaíras";2;4
"230495 Guaiúba";5;3
"230500 Guaraciaba do Norte";7;8
"230520 Hidrolândia";1;-
"230523 Horizonte";5;3
"230526 Ibaretama";2;1
"230530 Ibiapina";6;4
"230533 Ibicuitinga";4;5
"230535 Icapuí";8;5
"230540 Icó";10;9
"230550 Iguatu";14;5
"230560 Independência";1;1
"230565 Ipaporanga";1;-
"230570 Ipaumirim";-;1
"230580 Ipu";-;4
"230590 Ipueiras";3;3
"230600 Iracema";2;3
"230620 Itaiçaba";2;1
"230625 Itaitinga";-;3
"230630 Itapagé";8;7
"230640 Itapipoca";6;15
"230650 Itapiúna";5;3
"230655 Itarema";7;4
"230660 Itatira";4;5
"230670 Jaguaretama";2;1
"230680 Jaguaribara";5;3
"230690 Jaguaribe";1;1
"230700 Jaguaruana";-;1
"230710 Jardim";3;5
"230720 Jati";4;5
"230725 Jijoca de Jericoacoara";3;5
"230730 Juazeiro do Norte";30;30
"230740 Jucás";2;2
"230750 Lavras da Mangabeira";9;11
"230760 Limoeiro do Norte";25;16
"230763 Madalena";2;6
"230765 Maracanaú";30;25
"230770 Maranguape";10;13
"230780 Marco";-;4
"230790 Martinópole";4;2
"230800 Massapê";-;1
"230810 Mauriti";7;6
"230820 Meruoca";2;1
"230830 Milagres";4;3
"230835 Milhã";2;2
"230837 Miraíma";2;1
"230840 Missão Velha";2;-
"230850 Mombaça";3;4
"230860 Monsenhor Tabosa";1;1
"230870 Morada Nova";12;11
"230880 Moraújo";1;1
"230890 Morrinhos";2;2
"230900 Mucambo";3;2
"230910 Mulungu";2;4
"230920 Nova Olinda";1;1
"230930 Nova Russas";7;2
"230940 Novo Oriente";5;2
"230950 Orós";4;6
"230960 Pacajus";4;6
"230970 Pacatuba";3;8
"230980 Pacoti";1;1
"230990 Pacujá";1;1
"231000 Palhano";1;3
"231010 Palmácia";1;1
"231020 Paracuru";1;2
"231025 Paraipaba";5;6
"231030 Parambu";1;6
"231040 Paramoti";2;2
"231050 Pedra Branca";3;7
"231060 Penaforte";3;2
"231070 Pentecoste";6;5
"231085 Pindoretama";3;2
"231090 Piquet Carneiro";-;1
"231095 Pires Ferreira";2;2
"231100 Poranga";-;3
"231110 Porteiras";3;4
"231120 Potengi";1;1
"231123 Potiretama";1;1
"231126 Quiterianópolis";1;1
"231130 Quixadá";4;2
"231140 Quixeramobim";8;8
"231150 Quixeré";3;2
"231160 Redenção";4;3
"231170 Reriutaba";3;1
"231180 Russas";4;14
"231190 Saboeiro";3;3
"231195 Salitre";1;3
"231220 Santa Quitéria";1;1
"231200 Santana do Acaraú";7;6
"231210 Santana do Cariri";7;7
"231230 São Benedito";7;6
"231240 São Gonçalo do Amarante";4;6
"231250 São João do Jaguaribe";2;4
"231260 São Luís do Curu";4;1
"231270 Senador Pompeu";3;3
"231280 Senador Sá";2;1
"231290 Sobral";25;22
"231300 Solonópole";3;9
"231310 Tabuleiro do Norte";2;2
"231320 Tamboril";4;9
"231325 Tarrafas";-;1
"231330 Tauá";9;9
"231335 Tejuçuoca";2;2
"231340 Tianguá";7;8
"231350 Trairi";1;1
"231355 Tururu";1;1
"231360 Ubajara";5;5
"231370 Umari";1;1
"231375 Umirim";2;1
"231380 Uruburetama";2;1
"231390 Uruoca";1;1
"231400 Várzea Alegre";3;2
"231410 Viçosa do Ceará";8;9
"240010 Acari";1;-
"240020 Açu";4;3
"240030 Afonso Bezerra";2;4
"240040 Água Nova";-;1
"240050 Alexandria";-;1
"240070 Alto do Rodrigues";1;3
"240080 Angicos";1;3
"240100 Apodi";2;7
"240110 Areia Branca";4;4
"240120 Arês";2;3
"240130 Augusto Severo";-;1
"240140 Baía Formosa";1;1
"240145 Baraúna";3;3
"240150 Barcelona";1;-
"240170 Bom Jesus";3;3
"240185 Caiçara do Norte";3;1
"240190 Caiçara do Rio do Vento";1;1
"240200 Caicó";10;6
"240210 Campo Redondo";3;2
"240220 Canguaretama";10;10
"240230 Caraúbas";4;5
"240240 Carnaúba dos Dantas";2;2
"240250 Carnaubais";-;2
"240260 Ceará-Mirim";8;12
"240270 Cerro Corá";1;2
"240280 Coronel Ezequiel";1;2
"240290 Coronel João Pessoa";1;1
"240310 Currais Novos";2;2
"240320 Doutor Severiano";1;1
"240340 Equador";-;1
"240350 Espírito Santo";-;4
"240360 Extremoz";4;4
"240370 Felipe Guerra";1;1
"240375 Fernando Pedroza";1;-
"240380 Florânia";1;4
"240390 Francisco Dantas";1;1
"240400 Frutuoso Gomes";-;1
"240420 Goianinha";-;4
"240430 Governador Dix-Sept Rosado";3;5
"240440 Grossos";2;1
"240450 Guamaré";4;4
"240460 Ielmo Marinho";1;1
"240470 Ipanguaçu";3;3
"240480 Ipueira";1;1
"240485 Itajá";1;1
"240500 Jaçanã";1;2
"240510 Jandaíra";1;1
"240520 Janduís";4;2
"240530 Januário Cicco";2;2
"240540 Japi";-;2
"240560 Jardim de Piranhas";2;1
"240570 Jardim do Seridó";-;1
"240580 João Câmara";1;4
"240600 José da Penha";-;1
"240610 Jucurutu";4;5
"240620 Lagoa d'Anta";3;-
"240630 Lagoa de Pedras";1;2
"240650 Lagoa Nova";2;3
"240660 Lagoa Salgada";1;2
"240670 Lajes";1;3
"240680 Lajes Pintadas";1;1
"240700 Luís Gomes";2;1
"240710 Macaíba";11;10
"240720 Macau";3;7
"240725 Major Sales";-;1
"240740 Martins";1;1
"240750 Maxaranguape";-;1
"240770 Montanhas";4;3
"240780 Monte Alegre";4;5
"240790 Monte das Gameleiras";1;1
"240800 Mossoró";28;30
"240810 Natal";51;57
"240820 Nísia Floresta";6;4
"240830 Nova Cruz";10;9
"240880 Parazinho";1;1
"240325 Parnamirim";25;30
"240910 Passa e Fica";3;1
"240920 Passagem";1;1
"240930 Patu";2;2
"240940 Pau dos Ferros";3;4
"240970 Pedro Avelino";3;3
"240980 Pedro Velho";3;2
"240990 Pendências";2;2
"241020 Portalegre";-;1
"241040 Pureza";2;2
"241060 Rafael Godeiro";1;1
"241080 Riacho de Santana";-;1
"240895 Rio do Fogo";2;4
"241110 Ruy Barbosa";1;-
"241120 Santa Cruz";6;8
"240933 Santa Maria";3;2
"241150 Santo Antônio";1;5
"241160 São Bento do Norte";-;1
"241180 São Fernando";1;1
"241190 São Francisco do Oeste";-;1
"241200 São Gonçalo do Amarante";11;11
"241210 São João do Sabugi";1;1
"241220 São José de Mipibu";7;10
"241230 São José do Campestre";2;2
"241240 São José do Seridó";-;1
"241250 São Miguel";5;3
"241255 São Miguel do Gostoso";3;2
"241260 São Paulo do Potengi";1;2
"241270 São Pedro";1;2
"241280 São Rafael";2;3
"241290 São Tomé";1;2
"241300 São Vicente";1;1
"241310 Senador Elói de Souza";-;1
"241335 Serra do Mel";3;2
"241340 Serra Negra do Norte";1;2
"241350 Serrinha";-;1
"241355 Serrinha dos Pintos";-;1
"241360 Severiano Melo";1;-
"241370 Sítio Novo";1;1
"241390 Taipu";-;2
"241400 Tangará";4;3
"241410 Tenente Ananias";1;-
"241105 Tibau";1;-
"241420 Tibau do Sul";-;1
"241430 Timbaúba dos Batistas";-;1
"241440 Touros";5;8
"241450 Umarizal";2;2
"241460 Upanema";1;3
"241480 Vera Cruz";-;1
