CNES - Recursos Humanos - Ocupações - segundo CBO 1994 - Brasil
Total por Município e Ano/mês compet.
Médicos: 06105-Em geral (clínico geral)
Período:Dez/2005, Dez/2006
"Município";"2005/Dez";"2006/Dez"
"150340 Inhangapi";1;1
"150345 Ipixuna do Pará";4;4
"150350 Irituia";2;4
"150360 Itaituba";32;24
"150370 Itupiranga";12;11
"150375 Jacareacanga";3;1
"150380 Jacundá";11;13
"150390 Juruti";-;2
"150400 Limoeiro do Ajuru";2;-
"150405 Mãe do Rio";5;4
"150410 Magalhães Barata";2;2
"150420 Marabá";40;54
"150430 Maracanã";1;1
"150440 Marapanim";4;4
"150442 Marituba";23;36
"150445 Medicilândia";2;1
"150450 Melgaço";1;1
"150460 Mocajuba";3;2
"150470 Moju";5;4
"150480 Monte Alegre";10;8
"150490 Muaná";4;1
"150495 Nova Esperança do Piriá";2;2
"150497 Nova Ipixuna";-;1
"150500 Nova Timboteua";3;3
"150503 Novo Progresso";3;4
"150506 Novo Repartimento";2;10
"150510 Óbidos";7;8
"150520 Oeiras do Pará";1;1
"150530 Oriximiná";13;11
"150543 Ourilândia do Norte";6;6
"150548 Pacajá";4;2
"150550 Paragominas";9;7
"150553 Parauapebas";44;62
"150555 Pau D'Arco";1;1
"150560 Peixe-Boi";2;2
"150570 Ponta de Pedras";1;1
"150580 Portel";2;4
"150590 Porto de Moz";1;1
"150600 Prainha";1;2
"150610 Primavera";2;2
"150611 Quatipuru";1;1
"150613 Redenção";10;10
"150616 Rio Maria";7;5
"150618 Rondon do Pará";8;8
"150619 Rurópolis";5;3
"150620 Salinópolis";17;7
"150630 Salvaterra";2;2
"150650 Santa Izabel do Pará";9;16
"150655 Santa Luzia do Pará";1;1
"150658 Santa Maria das Barreiras";3;2
"150660 Santa Maria do Pará";4;6
"150670 Santana do Araguaia";6;7
"150680 Santarém";35;53
"150690 Santarém Novo";1;1
"150700 Santo Antônio do Tauá";4;5
"150710 São Caetano de Odivelas";2;2
"150715 São Domingos do Araguaia";10;3
"150720 São Domingos do Capim";2;2
"150730 São Félix do Xingu";4;10
"150740 São Francisco do Pará";-;3
"150745 São Geraldo do Araguaia";4;6
"150746 São João da Ponta";3;2
"150747 São João de Pirabas";5;5
"150750 São João do Araguaia";3;2
"150760 São Miguel do Guamá";10;8
"150770 São Sebastião da Boa Vista";2;2
"150775 Sapucaia";2;2
"150780 Senador José Porfírio";1;1
"150790 Soure";9;9
"150795 Tailândia";10;9
"150796 Terra Alta";1;1
"150797 Terra Santa";5;3
"150800 Tomé-Açu";9;9
"150803 Tracuateua";1;1
"150808 Tucumã";7;9
"150810 Tucuruí";26;24
"150812 Ulianópolis";6;2
"150815 Uruará";2;2
"150820 Vigia";4;4
"150830 Viseu";3;3
"150835 Vitória do Xingu";2;-
"150840 Xinguara";6;8
"160010 Amapá";2;2
"160021 Cutias";1;-
"160023 Ferreira Gomes";1;1
"160025 Itaubal";2;2
"160027 Laranjal do Jari";10;9
"160030 Macapá";127;125
"160040 Mazagão";1;1
"160050 Oiapoque";3;3
"160015 Pedra Branca do Amapari";2;1
"160053 Porto Grande";3;1
"160060 Santana";23;22
"160005 Serra do Navio";1;1
"160070 Tartarugalzinho";1;1
"160080 Vitória do Jari";1;1
"170030 Aguiarnópolis";2;2
"170040 Almas";1;1
"170070 Alvorada";1;-
"170100 Ananás";2;2
"170110 Aparecida do Rio Negro";1;2
"170190 Araguacema";1;1
"170200 Araguaçu";4;5
"170210 Araguaína";69;76
"170215 Araguanã";1;-
"170220 Araguatins";1;1
"170230 Arapoema";3;2
"170240 Arraias";9;9
"170255 Augustinópolis";4;4
"170270 Aurora do Tocantins";-;1
"170290 Axixá do Tocantins";1;1
"170305 Bandeirantes do Tocantins";1;1
"170310 Barrolândia";3;4
"170320 Bernardo Sayão";1;1
"170370 Brejinho de Nazaré";1;1
"170380 Buriti do Tocantins";2;2
"170386 Cariri do Tocantins";3;3
"170390 Caseara";1;1
"170550 Colinas do Tocantins";6;11
"171670 Colméia";2;2
"170555 Combinado";-;1
"170600 Couto Magalhães";2;2
"170610 Cristalândia";4;4
"170700 Dianópolis";3;12
"170710 Divinópolis do Tocantins";2;1
"170720 Dois Irmãos do Tocantins";1;1
"170755 Fátima";2;2
"170770 Filadélfia";-;1
"170820 Formoso do Araguaia";1;1
"170830 Goianorte";2;2
"170900 Goiatins";1;1
"170930 Guaraí";10;3
"170950 Gurupi";52;47
"171050 Itacajá";1;-
"171070 Itaguatins";1;1
"171190 Lagoa da Confusão";1;1
"171200 Lajeado";1;1
"171215 Lavandeira";1;-
"171250 Marianópolis do Tocantins";1;2
"171280 Maurilândia do Tocantins";1;-
"171320 Miracema do Tocantins";4;9
"171330 Miranorte";5;3
"171430 Nazaré";1;1
"171488 Nova Olinda";3;2
"171500 Nova Rosalândia";3;1
"171510 Novo Acordo";1;1
"171515 Novo Alegre";-;1
"172100 Palmas";59;70
"171570 Palmeirante";2;-
"171380 Palmeiras do Tocantins";3;3
"171575 Palmeirópolis";2;-
"171610 Paraíso do Tocantins";14;11
"171620 Paranã";2;-
"171650 Pedro Afonso";5;4
"171720 Piraquê";3;3
"171750 Pium";2;4
"171780 Ponte Alta do Bom Jesus";1;1
"171790 Ponte Alta do Tocantins";3;3
"171820 Porto Nacional";17;14
"171840 Presidente Kennedy";3;1
"171845 Pugmil";1;1
"171855 Riachinho";2;2
"171870 Rio dos Bois";2;1
"172010 São Bento do Tocantins";2;1
"172020 São Miguel do Tocantins";1;-
"172025 São Salvador do Tocantins";1;-
"172030 São Sebastião do Tocantins";-;1
"172049 São Valério";1;3
"172065 Silvanópolis";3;1
"172080 Sítio Novo do Tocantins";2;2
"172090 Taguatinga";2;3
"172097 Talismã";2;2
"172120 Tocantinópolis";9;6
"172208 Wanderlândia";1;1
"172210 Xambioá";7;8
"210005 Açailândia";38;24
"210020 Alcântara";1;1
"210030 Aldeias Altas";8;9
"210040 Altamira do Maranhão";1;2
"210043 Alto Alegre do Maranhão";6;5
"210047 Alto Alegre do Pindaré";5;5
"210050 Alto Parnaíba";3;3
"210060 Amarante do Maranhão";5;5
"210070 Anajatuba";5;5
"210080 Anapurus";3;3
"210090 Araioses";5;5
"210095 Arame";4;4
"210100 Arari";1;1
"210120 Bacabal";16;14
"210125 Bacabeira";7;7
"210130 Bacuri";1;1
"210140 Balsas";36;28
"210150 Barão de Grajaú";6;6
"210160 Barra do Corda";28;17
"210170 Barreirinhas";3;5
"210177 Bela Vista do Maranhão";4;4
"210180 Benedito Leite";5;5
"210190 Bequimão";2;2
"210193 Bernardo do Mearim";2;2
"210200 Bom Jardim";4;1
"210203 Bom Jesus das Selvas";5;5
"210207 Bom Lugar";2;2
"210210 Brejo";10;11
"210220 Buriti";4;4
"210230 Buriti Bravo";1;2
"210232 Buriticupu";3;5
"210235 Buritirana";4;4
"210237 Cachoeira Grande";1;1
"210240 Cajapió";2;2
"210250 Cajari";3;3
"210255 Campestre do Maranhão";1;1
"210270 Cantanhede";1;1
"210275 Capinzal do Norte";1;1
"210280 Carolina";7;2
"210290 Carutapera";1;-
"210300 Caxias";28;28
"210310 Cedral";1;-
"210312 Central do Maranhão";5;5
"210317 Centro Novo do Maranhão";2;2
"210320 Chapadinha";20;22
"210325 Cidelândia";5;5
"210330 Codó";22;22
"210340 Coelho Neto";8;9
"210350 Colinas";5;5
"210355 Conceição do Lago-Açu";2;-
"210360 Coroatá";2;-
"210370 Cururupu";4;1
"210375 Davinópolis";-;1
"210380 Dom Pedro";16;16
"210390 Duque Bacelar";1;1
"210400 Esperantinópolis";2;2
"210405 Estreito";10;7
"210407 Feira Nova do Maranhão";2;2
"210409 Formosa da Serra Negra";2;2
"210410 Fortaleza dos Nogueiras";6;6
"210420 Fortuna";1;2
"210430 Godofredo Viana";2;2
"210440 Gonçalves Dias";2;3
"210450 Governador Archer";1;1
"210455 Governador Edison Lobão";2;2
"210460 Governador Eugênio Barros";4;2
"210462 Governador Luiz Rocha";1;1
"210465 Governador Newton Bello";4;4
"210467 Governador Nunes Freire";2;3
"210480 Grajaú";13;6
"210490 Guimarães";1;1
"210500 Humberto de Campos";-;1
"210510 Icatu";4;4
"210520 Igarapé Grande";1;1
"210530 Imperatriz";39;39
"210535 Itaipava do Grajaú";2;2
"210540 Itapecuru Mirim";10;8
"210542 Itinga do Maranhão";2;-
"210547 Jenipapo dos Vieiras";1;1
"210550 João Lisboa";4;4
"210560 Joselândia";2;2
"210565 Junco do Maranhão";1;1
"210570 Lago da Pedra";5;4
"210580 Lago do Junco";6;-
"210594 Lago dos Rodrigues";1;1
"210590 Lago Verde";1;1
"210592 Lagoa do Mato";1;1
"210598 Lajeado Novo";1;1
"210600 Lima Campos";3;5
"210610 Loreto";2;2
"210630 Magalhães de Almeida";2;2
"210632 Maracaçumé";2;2
"210637 Maranhãozinho";1;1
"210640 Mata Roma";1;1
"210650 Matinha";5;6
"210660 Matões";5;5
"210663 Matões do Norte";2;4
"210667 Milagres do Maranhão";1;1
"210670 Mirador";3;3
"210675 Miranda do Norte";3;8
"210680 Mirinzal";1;2
"210690 Monção";5;5
"210700 Montes Altos";1;1
"210710 Morros";7;7
"210725 Nova Colinas";1;1
"210730 Nova Iorque";1;-
"210735 Nova Olinda do Maranhão";1;1
"210740 Olho d'Água das Cunhãs";6;6
"210745 Olinda Nova do Maranhão";2;3
"210750 Paço do Lumiar";6;6
"210760 Palmeirândia";1;1
"210770 Paraibano";1;1
"210780 Parnarama";2;-
"210790 Passagem Franca";6;6
"210800 Pastos Bons";5;5
"210810 Paulo Ramos";1;1
"210820 Pedreiras";13;14
"210825 Pedro do Rosário";1;1
"210830 Penalva";2;3
"210850 Pindaré-Mirim";5;3
"210860 Pinheiro";5;4
"210870 Pio XII";2;3
"210880 Pirapemas";2;1
"210890 Poção de Pedras";6;4
"210900 Porto Franco";6;3
"210905 Porto Rico do Maranhão";2;2
"210910 Presidente Dutra";10;9
"210920 Presidente Juscelino";1;6
"210923 Presidente Médici";1;1
"210930 Presidente Vargas";4;7
"210940 Primeira Cruz";-;1
"210945 Raposa";-;1
"210950 Riachão";4;4
"210955 Ribamar Fiquene";2;2
"210960 Rosário";11;11
"210970 Sambaíba";1;2
"210975 Santa Filomena do Maranhão";1;1
"210980 Santa Helena";3;1
"210990 Santa Inês";28;11
"211000 Santa Luzia";9;9
"211003 Santa Luzia do Paruá";6;6
"211010 Santa Quitéria do Maranhão";2;2
"211020 Santa Rita";8;12
"211023 Santana do Maranhão";2;2
"211027 Santo Amaro do Maranhão";1;2
"211030 Santo Antônio dos Lopes";-;1
"211040 São Benedito do Rio Preto";3;3
"211050 São Bento";4;4
"211060 São Bernardo";1;1
"211065 São Domingos do Azeitão";1;1
"211070 São Domingos do Maranhão";2;2
"211080 São Félix de Balsas";1;1
"211085 São Francisco do Brejão";5;5
"211090 São Francisco do Maranhão";2;3
"211100 São João Batista";1;3
"211102 São João do Carú";1;1
"211105 São João do Paraíso";2;2
"211107 São João do Soter";4;4
"211110 São João dos Patos";6;6
"211120 São José de Ribamar";3;5
"211125 São José dos Basílios";4;3
"211130 São Luís";371;384
"211140 São Luís Gonzaga do Maranhão";11;11
"211150 São Mateus do Maranhão";10;11
"211153 São Pedro da Água Branca";1;3
"211157 São Pedro dos Crentes";1;1
"211160 São Raimundo das Mangabeiras";4;4
"211163 São Raimundo do Doca Bezerra";1;1
"211167 São Roberto";2;2
"211170 São Vicente Ferrer";3;2
"211172 Satubinha";3;3
"211174 Senador Alexandre Costa";2;2
"211176 Senador La Rocque";3;2
"211180 Sítio Novo";2;2
"211190 Sucupira do Norte";6;6
"211195 Sucupira do Riachão";1;1
"211200 Tasso Fragoso";1;1
"211210 Timbiras";4;4
"211220 Timon";43;41
"211223 Trizidela do Vale";1;1
"211227 Tufilândia";1;2
"211230 Tuntum";4;11
"211240 Turiaçu";1;1
"211245 Turilândia";2;2
"211250 Tutóia";3;3
"211260 Urbano Santos";2;2
"211270 Vargem Grande";3;2
"211280 Viana";14;12
"211285 Vila Nova dos Martírios";3;3
"211290 Vitória do Mearim";-;1
"211300 Vitorino Freire";5;3
"211400 Zé Doca";3;3
"220005 Acauã";1;1
"220010 Agricolândia";2;2
"220020 Água Branca";8;5
"220025 Alagoinha do Piauí";3;3
"220030 Alto Longá";2;2
"220040 Altos";1;1
"220050 Amarante";5;5
"220060 Angical do Piauí";4;5
"220070 Anísio de Abreu";5;5
"220090 Aroazes";3;3
"220100 Arraial";2;2
"220105 Assunção do Piauí";2;2
"220110 Avelino Lopes";1;1
"220115 Baixa Grande do Ribeiro";1;1
"220117 Barra D'Alcântara";1;-
"220120 Barras";6;6
"220140 Barro Duro";5;4
"220150 Batalha";2;2
"220160 Beneditinos";3;3
"220177 Boa Hora";2;2
"220180 Bocaina";1;1
"220190 Bom Jesus";8;9
"220191 Bom Princípio do Piauí";1;1
"220194 Boqueirão do Piauí";3;3
"220196 Brasileira";1;1
"220200 Buriti dos Lopes";5;4
"220202 Buriti dos Montes";3;3
"220217 Campo Largo do Piauí";2;2
"220220 Campo Maior";31;36
"220225 Canavieira";2;2
"220230 Canto do Buriti";9;9
"220240 Capitão de Campos";2;2
"220250 Caracol";3;3
"220260 Castelo do Piauí";9;9
"220270 Cocal";4;4
"220271 Cocal de Telha";1;1
"220272 Cocal dos Alves";1;1
"220275 Colônia do Gurguéia";-;1
"220277 Colônia do Piauí";1;1
"220280 Conceição do Canindé";1;1
"220290 Corrente";6;6
"220300 Cristalândia do Piauí";7;7
"220310 Cristino Castro";2;2
"220320 Curimatá";4;4
"220330 Demerval Lobão";4;8
"220335 Dirceu Arcoverde";1;1
"220340 Dom Expedito Lopes";-;1
"220350 Elesbão Veloso";3;4
"220360 Eliseu Martins";3;3
"220370 Esperantina";27;30
"220375 Fartura do Piauí";1;1
"220380 Flores do Piauí";2;2
"220390 Floriano";27;26
"220400 Francinópolis";3;3
"220410 Francisco Ayres";4;3
"220415 Francisco Macedo";1;-
"220420 Francisco Santos";3;3
"220430 Fronteiras";2;2
"220440 Gilbués";3;3
"220450 Guadalupe";3;3
"220470 Inhuma";2;2
"220480 Ipiranga do Piauí";5;5
"220490 Isaías Coelho";2;2
"220500 Itainópolis";2;2
"220510 Itaueira";2;3
"220520 Jaicós";9;7
"220527 Jatobá do Piauí";3;3
"220530 Jerumenha";1;1
"220540 Joaquim Pires";9;9
"220550 José de Freitas";6;6
"220555 Lagoa Alegre";4;4
"220560 Landri Sales";1;1
"220570 Luís Correia";3;3
"220580 Luzilândia";11;12
"220590 Manoel Emídio";2;2
"220595 Marcolândia";2;2
"220600 Marcos Parente";1;1
"220605 Massapê do Piauí";-;1
"220610 Matias Olímpio";7;6
"220620 Miguel Alves";2;5
"220640 Monsenhor Gil";3;1
"220650 Monsenhor Hipólito";2;2
"220660 Monte Alegre do Piauí";3;3
"220667 Morro do Chapéu do Piauí";1;1
"220670 Nazaré do Piauí";2;2
"220680 Nossa Senhora dos Remédios";5;5
"220690 Novo Oriente do Piauí";5;5
"220700 Oeiras";39;37
"220720 Padre Marcos";4;4
"220730 Paes Landim";1;1
"220740 Palmeira do Piauí";1;1
"220750 Palmeirais";3;3
"220760 Parnaguá";3;3
"220770 Parnaíba";59;78
"220780 Paulistana";21;21
"220790 Pedro II";2;2
"220800 Picos";116;138
"220810 Pimenteiras";2;2
"220820 Pio IX";6;6
"220830 Piracuruca";3;4
"220840 Piripiri";8;6
"220850 Porto";4;4
"220855 Porto Alegre do Piauí";1;1
"220860 Prata do Piauí";1;1
"220865 Queimada Nova";3;3
"220870 Redenção do Gurguéia";3;3
"220880 Regeneração";4;4
"220890 Ribeiro Gonçalves";1;2
"220900 Rio Grande do Piauí";4;4
"220910 Santa Cruz do Piauí";8;8
"220920 Santa Filomena";1;3
"220937 Santa Rosa do Piauí";1;1
"220945 Santo Antônio dos Milagres";1;1
"220950 Santo Inácio do Piauí";1;1
"220955 São Braz do Piauí";1;1
"220960 São Félix do Piauí";2;2
"220970 São Francisco do Piauí";1;1
"220980 São Gonçalo do Piauí";3;3
"220987 São João da Fronteira";-;1
"220990 São João da Serra";5;5
"220995 São João da Varjota";1;1
"221000 São João do Piauí";9;9
"221005 São José do Divino";1;3
"221010 São José do Peixe";2;2
"221030 São Julião";10;10
"221035 São Lourenço do Piauí";1;1
"221040 São Miguel do Tapuio";5;6
"221050 São Pedro do Piauí";8;9
"221060 São Raimundo Nonato";24;22
"221062 Sebastião Barros";1;1
"221065 Sigefredo Pacheco";1;1
"221070 Simões";4;4
"221080 Simplício Mendes";8;7
"221090 Socorro do Piauí";3;3
"221095 Tamboril do Piauí";1;1
"221100 Teresina";373;386
"221110 União";9;9
"221120 Uruçuí";6;8
"221130 Valença do Piauí";6;6
"221140 Várzea Grande";2;2
"221160 Vila Nova do Piauí";4;4
"221170 Wall Ferraz";2;2
"230010 Abaiara";1;1
"230015 Acarape";4;4
"230020 Acaraú";4;2
"230030 Acopiara";4;4
"230040 Aiuaba";3;4
"230050 Alcântaras";1;2
"230060 Altaneira";-;2
"230070 Alto Santo";2;1
"230075 Amontada";5;5
"230090 Apuiarés";6;3
"230100 Aquiraz";16;17
"230110 Aracati";14;11
"230120 Aracoiaba";5;4
"230130 Araripe";8;6
"230140 Aratuba";-;1
"230150 Arneiroz";4;3
"230170 Aurora";5;5
"230180 Baixio";4;2
"230185 Banabuiú";5;2
"230190 Barbalha";15;15
"230195 Barreira";6;5
"230200 Barro";3;1
"230205 Barroquinha";-;1
"230210 Baturité";7;7
"230220 Beberibe";6;6
"230230 Bela Cruz";5;5
"230240 Boa Viagem";2;5
"230250 Brejo Santo";13;13
"230260 Camocim";15;9
"230270 Campos Sales";2;3
"230280 Canindé";14;9
"230300 Caridade";-;1
"230310 Cariré";2;3
"230320 Caririaçu";2;2
"230330 Cariús";2;-
"230340 Carnaubal";1;-
"230350 Cascavel";2;2
"230360 Catarina";1;1
"230370 Caucaia";27;27
"230380 Cedro";8;5
"230390 Chaval";1;1
"230393 Choró";-;3
"230400 Coreaú";8;2
"230410 Crateús";12;15
"230420 Crato";62;61
"230423 Croatá";1;1
"230425 Cruz";1;-
"230427 Ererê";1;1
"230428 Eusébio";4;5
"230430 Farias Brito";-;1
"230435 Forquilha";1;1
"230440 Fortaleza";848;851
"230445 Fortim";-;1
"230450 Frecheirinha";2;1
"230460 General Sampaio";4;4
"230470 Granja";3;2
"230480 Granjeiro";3;2
"230490 Groaíras";1;1
"230495 Guaiúba";11;11
"230500 Guaraciaba do Norte";1;1
"230510 Guaramiranga";3;3
"230520 Hidrolândia";6;5
"230523 Horizonte";1;3
"230526 Ibaretama";-;1
"230530 Ibiapina";2;2
"230533 Ibicuitinga";-;2
"230535 Icapuí";4;2
"230540 Icó";11;15
"230550 Iguatu";21;50
"230560 Independência";1;-
"230565 Ipaporanga";1;1
"230570 Ipaumirim";3;2
"230580 Ipu";12;9
"230590 Ipueiras";4;2
"230610 Irauçuba";1;1
"230620 Itaiçaba";-;1
"230625 Itaitinga";10;1
"230630 Itapagé";8;9
"230640 Itapipoca";18;17
"230650 Itapiúna";7;2
"230655 Itarema";1;-
"230670 Jaguaretama";8;8
"230690 Jaguaribe";3;3
"230710 Jardim";9;8
"230720 Jati";2;2
"230725 Jijoca de Jericoacoara";1;1
"230730 Juazeiro do Norte";24;29
"230740 Jucás";5;3
"230750 Lavras da Mangabeira";5;4
"230760 Limoeiro do Norte";3;20
"230763 Madalena";2;-
"230765 Maracanaú";22;29
"230770 Maranguape";12;11
"230780 Marco";3;2
"230790 Martinópole";2;3
"230800 Massapê";3;3
"230810 Mauriti";5;2
"230820 Meruoca";1;3
"230830 Milagres";3;5
"230835 Milhã";-;1
"230850 Mombaça";6;6
"230860 Monsenhor Tabosa";2;2
"230870 Morada Nova";8;9
"230880 Moraújo";2;2
"230890 Morrinhos";1;1
"230900 Mucambo";1;1
"230910 Mulungu";7;3
"230920 Nova Olinda";2;1
"230930 Nova Russas";1;7
"230940 Novo Oriente";-;1
"230950 Orós";6;6
"230960 Pacajus";20;19
"230970 Pacatuba";12;8
"230980 Pacoti";6;3
"231010 Palmácia";4;-
"231020 Paracuru";5;4
"231025 Paraipaba";-;1
"231030 Parambu";3;3
"231040 Paramoti";1;1
"231050 Pedra Branca";2;3
"231070 Pentecoste";2;1
"231080 Pereiro";4;4
"231085 Pindoretama";2;-
"231100 Poranga";1;1
"231110 Porteiras";1;1
"231120 Potengi";1;1
"231123 Potiretama";1;1
"231126 Quiterianópolis";-;1
"231130 Quixadá";27;32
"231135 Quixelô";4;4
"231140 Quixeramobim";6;14
"231160 Redenção";2;1
"231170 Reriutaba";2;2
"231180 Russas";7;10
"231190 Saboeiro";1;1
"231220 Santa Quitéria";2;2
"231200 Santana do Acaraú";1;1
"231210 Santana do Cariri";5;6
"231230 São Benedito";3;2
"231240 São Gonçalo do Amarante";1;-
"231250 São João do Jaguaribe";2;1
"231260 São Luís do Curu";5;4
"231270 Senador Pompeu";8;8
"231280 Senador Sá";2;2
"231290 Sobral";56;64
"231310 Tabuleiro do Norte";6;4
"231320 Tamboril";1;1
"231330 Tauá";14;11
"231335 Tejuçuoca";5;5
"231340 Tianguá";-;5
"231350 Trairi";-;1
"231355 Tururu";1;1
"231360 Ubajara";2;2
"231370 Umari";2;1
"231375 Umirim";1;1
"231380 Uruburetama";2;2
"231390 Uruoca";2;1
"231395 Varjota";1;1
